"","year","state","month","number","date"
"603",2001,"Amapa","July",1,2001-01-01
"604",2002,"Amapa","July",1,2002-01-01
"605",2003,"Amapa","July",0,2003-01-01
"606",2004,"Amapa","July",2,2004-01-01
"607",2005,"Amapa","July",0,2005-01-01
"608",2006,"Amapa","July",0,2006-01-01
"609",2007,"Amapa","July",0,2007-01-01
"610",2008,"Amapa","July",0,2008-01-01
"611",2009,"Amapa","July",4,2009-01-01
"612",2010,"Amapa","July",2,2010-01-01
"613",2011,"Amapa","July",5,2011-01-01
"614",2012,"Amapa","July",3,2012-01-01
"615",2013,"Amapa","July",1,2013-01-01
"616",2014,"Amapa","July",4,2014-01-01
"617",2015,"Amapa","July",5,2015-01-01
"618",2016,"Amapa","July",1,2016-01-01
"619",2017,"Amapa","July",3,2017-01-01
"620",1998,"Amapa","August",1,1998-01-01
"621",1999,"Amapa","August",0,1999-01-01
"622",2000,"Amapa","August",3,2000-01-01
"623",2001,"Amapa","August",12,2001-01-01
"624",2002,"Amapa","August",18,2002-01-01
"625",2003,"Amapa","August",14,2003-01-01
"626",2004,"Amapa","August",9,2004-01-01
"627",2005,"Amapa","August",4,2005-01-01
"628",2006,"Amapa","August",11,2006-01-01
"629",2007,"Amapa","August",5,2007-01-01
"630",2008,"Amapa","August",4,2008-01-01
"631",2009,"Amapa","August",20,2009-01-01
"632",2010,"Amapa","August",1,2010-01-01
"633",2011,"Amapa","August",16,2011-01-01
"634",2012,"Amapa","August",19,2012-01-01
"635",2013,"Amapa","August",9,2013-01-01
"636",2014,"Amapa","August",18,2014-01-01
"637",2015,"Amapa","August",40,2015-01-01
"638",2016,"Amapa","August",37,2016-01-01
"639",2017,"Amapa","August",33,2017-01-01
"640",1998,"Amapa","September",20,1998-01-01
"641",1999,"Amapa","September",4,1999-01-01
"642",2000,"Amapa","September",19,2000-01-01
"643",2001,"Amapa","September",95,2001-01-01
"644",2002,"Amapa","September",73,2002-01-01
"645",2003,"Amapa","September",88,2003-01-01
"646",2004,"Amapa","September",67,2004-01-01
"647",2005,"Amapa","September",97,2005-01-01
"648",2006,"Amapa","September",112,2006-01-01
"649",2007,"Amapa","September",61,2007-01-01
"650",2008,"Amapa","September",83,2008-01-01
"651",2009,"Amapa","September",188,2009-01-01
"652",2010,"Amapa","September",63,2010-01-01
"653",2011,"Amapa","September",128,2011-01-01
"654",2012,"Amapa","September",168,2012-01-01
"655",2013,"Amapa","September",85,2013-01-01
"656",2014,"Amapa","September",137,2014-01-01
"657",2015,"Amapa","September",192,2015-01-01
"658",2016,"Amapa","September",142,2016-01-01
"659",2017,"Amapa","September",95,2017-01-01
"660",1998,"Amapa","October",42,1998-01-01
"661",1999,"Amapa","October",25,1999-01-01
"662",2000,"Amapa","October",42,2000-01-01
"663",2001,"Amapa","October",194,2001-01-01
"664",2002,"Amapa","October",557,2002-01-01
"665",2003,"Amapa","October",355,2003-01-01
"666",2004,"Amapa","October",412,2004-01-01
"667",2005,"Amapa","October",335,2005-01-01
"668",2006,"Amapa","October",405,2006-01-01
"669",2007,"Amapa","October",162,2007-01-01
"670",2008,"Amapa","October",395,2008-01-01
"671",2009,"Amapa","October",765,2009-01-01
"672",2010,"Amapa","October",265,2010-01-01
"673",2011,"Amapa","October",304,2011-01-01
"674",2012,"Amapa","October",475,2012-01-01
"675",2013,"Amapa","October",385,2013-01-01
"676",2014,"Amapa","October",480,2014-01-01
"677",2015,"Amapa","October",827,2015-01-01
"678",2016,"Amapa","October",793,2016-01-01
"679",2017,"Amapa","October",468,2017-01-01
"680",1998,"Amapa","November",131,1998-01-01
"681",1999,"Amapa","November",26,1999-01-01
"682",2000,"Amapa","November",157,2000-01-01
"683",2001,"Amapa","November",406,2001-01-01
"684",2002,"Amapa","November",1.096,2002-01-01
"685",2003,"Amapa","November",750,2003-01-01
"686",2004,"Amapa","November",949,2004-01-01
"687",2005,"Amapa","November",685,2005-01-01
"688",2006,"Amapa","November",207,2006-01-01
"689",2007,"Amapa","November",198,2007-01-01
"690",2008,"Amapa","November",266,2008-01-01
"691",2009,"Amapa","November",1.019,2009-01-01
"692",2010,"Amapa","November",339,2010-01-01
"693",2011,"Amapa","November",282,2011-01-01
"694",2012,"Amapa","November",969,2012-01-01
"695",2013,"Amapa","November",341,2013-01-01
"696",2014,"Amapa","November",484,2014-01-01
"697",2015,"Amapa","November",1.3,2015-01-01
"698",2016,"Amapa","November",1.161,2016-01-01
"699",2017,"Amapa","November",858,2017-01-01
"700",1998,"Amapa","December",84,1998-01-01
"701",1999,"Amapa","December",41,1999-01-01
"702",2000,"Amapa","December",30,2000-01-01
"703",2001,"Amapa","December",593,2001-01-01
"704",2002,"Amapa","December",200,2002-01-01
"705",2003,"Amapa","December",411,2003-01-01
"706",2004,"Amapa","December",777,2004-01-01
"707",2005,"Amapa","December",38,2005-01-01
"708",2006,"Amapa","December",74,2006-01-01
"709",2007,"Amapa","December",14,2007-01-01
"710",2008,"Amapa","December",32,2008-01-01
"711",2009,"Amapa","December",123,2009-01-01
"712",2010,"Amapa","December",43,2010-01-01
"713",2011,"Amapa","December",360,2011-01-01
"714",2012,"Amapa","December",422,2012-01-01
"715",2013,"Amapa","December",148,2013-01-01
"716",2014,"Amapa","December",354,2014-01-01
"717",2015,"Amapa","December",269,2015-01-01
"718",2016,"Amapa","December",491,2016-01-01
"719",1998,"Amazonas","January",0,1998-01-01
"720",1999,"Amazonas","January",3,1999-01-01
"721",2000,"Amazonas","January",7,2000-01-01
"722",2001,"Amazonas","January",3,2001-01-01
"723",2002,"Amazonas","January",17,2002-01-01
"724",2003,"Amazonas","January",158,2003-01-01
"725",2004,"Amazonas","January",123,2004-01-01
"726",2005,"Amazonas","January",44,2005-01-01
"727",2006,"Amazonas","January",20,2006-01-01
"728",2007,"Amazonas","January",37,2007-01-01
"729",2008,"Amazonas","January",16,2008-01-01
"730",2009,"Amazonas","January",9,2009-01-01
"731",2010,"Amazonas","January",82,2010-01-01
"732",2011,"Amazonas","January",53,2011-01-01
"733",2012,"Amazonas","January",6,2012-01-01
"734",2013,"Amazonas","January",37,2013-01-01
"735",2014,"Amazonas","January",46,2014-01-01
"736",2015,"Amazonas","January",35,2015-01-01
"737",2016,"Amazonas","January",770,2016-01-01
"738",2017,"Amazonas","January",65,2017-01-01
"739",1998,"Amazonas","February",0,1998-01-01
"740",1999,"Amazonas","February",43,1999-01-01
"741",2000,"Amazonas","February",62,2000-01-01
"742",2001,"Amazonas","February",8,2001-01-01
"743",2002,"Amazonas","February",2,2002-01-01
"744",2003,"Amazonas","February",62,2003-01-01
"745",2004,"Amazonas","February",92,2004-01-01
"746",2005,"Amazonas","February",6,2005-01-01
"747",2006,"Amazonas","February",10,2006-01-01
"748",2007,"Amazonas","February",92,2007-01-01
"749",2008,"Amazonas","February",32,2008-01-01
"750",2009,"Amazonas","February",3,2009-01-01
"751",2010,"Amazonas","February",81,2010-01-01
"752",2011,"Amazonas","February",30,2011-01-01
"753",2012,"Amazonas","February",25,2012-01-01
"754",2013,"Amazonas","February",16,2013-01-01
"755",2014,"Amazonas","February",49,2014-01-01
"756",2015,"Amazonas","February",107,2015-01-01
"757",2016,"Amazonas","February",275,2016-01-01
"758",2017,"Amazonas","February",52,2017-01-01
"759",1998,"Amazonas","March",0,1998-01-01
"760",1999,"Amazonas","March",7,1999-01-01
"761",2000,"Amazonas","March",69,2000-01-01
"762",2001,"Amazonas","March",6,2001-01-01
"763",2002,"Amazonas","March",5,2002-01-01
"764",2003,"Amazonas","March",64,2003-01-01
"765",2004,"Amazonas","March",6,2004-01-01
"766",2005,"Amazonas","March",12,2005-01-01
"767",2006,"Amazonas","March",20,2006-01-01
"768",2007,"Amazonas","March",6,2007-01-01
"769",2008,"Amazonas","March",10,2008-01-01
"770",2009,"Amazonas","March",11,2009-01-01
"771",2010,"Amazonas","March",116,2010-01-01
"772",2011,"Amazonas","March",49,2011-01-01
"773",2012,"Amazonas","March",17,2012-01-01
"774",2013,"Amazonas","March",49,2013-01-01
"775",2014,"Amazonas","March",50,2014-01-01
"776",2015,"Amazonas","March",46,2015-01-01
"777",2016,"Amazonas","March",140,2016-01-01
"778",2017,"Amazonas","March",45,2017-01-01
"779",1998,"Amazonas","April",0,1998-01-01
"780",1999,"Amazonas","April",2,1999-01-01
"781",2000,"Amazonas","April",18,2000-01-01
"782",2001,"Amazonas","April",1,2001-01-01
"783",2002,"Amazonas","April",2,2002-01-01
"784",2003,"Amazonas","April",11,2003-01-01
"785",2004,"Amazonas","April",4,2004-01-01
"786",2005,"Amazonas","April",5,2005-01-01
"787",2006,"Amazonas","April",5,2006-01-01
"788",2007,"Amazonas","April",0,2007-01-01
"789",2008,"Amazonas","April",13,2008-01-01
"790",2009,"Amazonas","April",1,2009-01-01
"791",2010,"Amazonas","April",11,2010-01-01
"792",2011,"Amazonas","April",5,2011-01-01
"793",2012,"Amazonas","April",3,2012-01-01
"794",2013,"Amazonas","April",20,2013-01-01
"795",2014,"Amazonas","April",25,2014-01-01
"796",2015,"Amazonas","April",24,2015-01-01
"797",2016,"Amazonas","April",22,2016-01-01
"798",2017,"Amazonas","April",20,2017-01-01
"799",1998,"Amazonas","May",0,1998-01-01
"800",1999,"Amazonas","May",0,1999-01-01
"801",2000,"Amazonas","May",51,2000-01-01
"802",2001,"Amazonas","May",0,2001-01-01
"803",2002,"Amazonas","May",8,2002-01-01
"804",2003,"Amazonas","May",2,2003-01-01
"805",2004,"Amazonas","May",0,2004-01-01
"806",2005,"Amazonas","May",8,2005-01-01
"807",2006,"Amazonas","May",4,2006-01-01
"808",2007,"Amazonas","May",0,2007-01-01
"809",2008,"Amazonas","May",1,2008-01-01
"810",2009,"Amazonas","May",3,2009-01-01
"811",2010,"Amazonas","May",13,2010-01-01
"812",2011,"Amazonas","May",6,2011-01-01
"813",2012,"Amazonas","May",12,2012-01-01
"814",2013,"Amazonas","May",19,2013-01-01
"815",2014,"Amazonas","May",12,2014-01-01
"816",2015,"Amazonas","May",10,2015-01-01
"817",2016,"Amazonas","May",30,2016-01-01
"818",2017,"Amazonas","May",40,2017-01-01
"819",1998,"Amazonas","June",2,1998-01-01
"820",1999,"Amazonas","June",7,1999-01-01
"821",2000,"Amazonas","June",6,2000-01-01
"822",2001,"Amazonas","June",5,2001-01-01
"823",2002,"Amazonas","June",5,2002-01-01
"824",2003,"Amazonas","June",3,2003-01-01
"825",2004,"Amazonas","June",12,2004-01-01
"826",2005,"Amazonas","June",78,2005-01-01
"827",2006,"Amazonas","June",9,2006-01-01
"828",2007,"Amazonas","June",23,2007-01-01
"829",2008,"Amazonas","June",7,2008-01-01
"830",2009,"Amazonas","June",13,2009-01-01
"831",2010,"Amazonas","June",9,2010-01-01
"832",2011,"Amazonas","June",22,2011-01-01
"833",2012,"Amazonas","June",45,2012-01-01
"834",2013,"Amazonas","June",56,2013-01-01
"835",2014,"Amazonas","June",74,2014-01-01
"836",2015,"Amazonas","June",33,2015-01-01
"837",2016,"Amazonas","June",90,2016-01-01
"838",2017,"Amazonas","June",119,2017-01-01
"839",1998,"Amazonas","July",71,1998-01-01
"840",1999,"Amazonas","July",11,1999-01-01
"841",2000,"Amazonas","July",39,2000-01-01
"842",2001,"Amazonas","July",9,2001-01-01
"843",2002,"Amazonas","July",146,2002-01-01
"844",2003,"Amazonas","July",180,2003-01-01
"845",2004,"Amazonas","July",177,2004-01-01
"846",2005,"Amazonas","July",676,2005-01-01
"847",2006,"Amazonas","July",123,2006-01-01
"848",2007,"Amazonas","July",116,2007-01-01
"849",2008,"Amazonas","July",108,2008-01-01
"850",2009,"Amazonas","July",199,2009-01-01
"851",2010,"Amazonas","July",640,2010-01-01
"852",2011,"Amazonas","July",271,2011-01-01
"853",2012,"Amazonas","July",234,2012-01-01
"854",2013,"Amazonas","July",248,2013-01-01
"855",2014,"Amazonas","July",202,2014-01-01
"856",2015,"Amazonas","July",356,2015-01-01
"857",2016,"Amazonas","July",1.137,2016-01-01
"858",2017,"Amazonas","July",1.975,2017-01-01
"859",1998,"Amazonas","August",321,1998-01-01
"860",1999,"Amazonas","August",259,1999-01-01
"861",2000,"Amazonas","August",180,2000-01-01
"862",2001,"Amazonas","August",501,2001-01-01
"863",2002,"Amazonas","August",741,2002-01-01
"864",2003,"Amazonas","August",1.867,2003-01-01
"865",2004,"Amazonas","August",1.207,2004-01-01
"866",2005,"Amazonas","August",2.316,2005-01-01
"867",2006,"Amazonas","August",1.422,2006-01-01
"868",2007,"Amazonas","August",2.241,2007-01-01
"869",2008,"Amazonas","August",861,2008-01-01
"870",2009,"Amazonas","August",1.321,2009-01-01
"871",2010,"Amazonas","August",3.727,2010-01-01
"872",2011,"Amazonas","August",1.243,2011-01-01
"873",2012,"Amazonas","August",3.011,2012-01-01
"874",2013,"Amazonas","August",1.276,2013-01-01
"875",2014,"Amazonas","August",3.852,2014-01-01
"876",2015,"Amazonas","August",4.564,2015-01-01
"877",2016,"Amazonas","August",3.611,2016-01-01
"878",2017,"Amazonas","August",6.316,2017-01-01
"879",1998,"Amazonas","September",267,1998-01-01
"880",1999,"Amazonas","September",216,1999-01-01
"881",2000,"Amazonas","September",189,2000-01-01
"882",2001,"Amazonas","September",166,2001-01-01
"883",2002,"Amazonas","September",928,2002-01-01
"884",2003,"Amazonas","September",1.401,2003-01-01
"885",2004,"Amazonas","September",911,2004-01-01
"886",2005,"Amazonas","September",2.812,2005-01-01
"887",2006,"Amazonas","September",2.218,2006-01-01
"888",2007,"Amazonas","September",1.36,2007-01-01
"889",2008,"Amazonas","September",998,2008-01-01
"890",2009,"Amazonas","September",3.091,2009-01-01
"891",2010,"Amazonas","September",2.781,2010-01-01
"892",2011,"Amazonas","September",1.295,2011-01-01
"893",2012,"Amazonas","September",2.392,2012-01-01
"894",2013,"Amazonas","September",1.739,2013-01-01
"895",2014,"Amazonas","September",3.057,2014-01-01
"896",2015,"Amazonas","September",5.882,2015-01-01
"897",2016,"Amazonas","September",3.119,2016-01-01
"898",2017,"Amazonas","September",4.033,2017-01-01
"899",1998,"Amazonas","October",83,1998-01-01
"900",1999,"Amazonas","October",479,1999-01-01
"901",2000,"Amazonas","October",145,2000-01-01
"902",2001,"Amazonas","October",332,2001-01-01
"903",2002,"Amazonas","October",695,2002-01-01
"904",2003,"Amazonas","October",725,2003-01-01
"905",2004,"Amazonas","October",710,2004-01-01
"906",2005,"Amazonas","October",545,2005-01-01
"907",2006,"Amazonas","October",721,2006-01-01
"908",2007,"Amazonas","October",215,2007-01-01
"909",2008,"Amazonas","October",632,2008-01-01
"910",2009,"Amazonas","October",2.189,2009-01-01
"911",2010,"Amazonas","October",889,2010-01-01
"912",2011,"Amazonas","October",694,2011-01-01
"913",2012,"Amazonas","October",1.238,2012-01-01
"914",2013,"Amazonas","October",1.202,2013-01-01
"915",2014,"Amazonas","October",952,2014-01-01
"916",2015,"Amazonas","October",2.494,2015-01-01
"917",2016,"Amazonas","October",2.105,2016-01-01
"918",2017,"Amazonas","October",1.581,2017-01-01
"919",1998,"Amazonas","November",6,1998-01-01
"920",1999,"Amazonas","November",32,1999-01-01
"921",2000,"Amazonas","November",27,2000-01-01
"922",2001,"Amazonas","November",244,2001-01-01
"923",2002,"Amazonas","November",259,2002-01-01
"924",2003,"Amazonas","November",169,2003-01-01
"925",2004,"Amazonas","November",209,2004-01-01
"926",2005,"Amazonas","November",261,2005-01-01
"927",2006,"Amazonas","November",59,2006-01-01
"928",2007,"Amazonas","November",90,2007-01-01
"929",2008,"Amazonas","November",39,2008-01-01
"930",2009,"Amazonas","November",973,2009-01-01
"931",2010,"Amazonas","November",354,2010-01-01
"932",2011,"Amazonas","November",399,2011-01-01
"933",2012,"Amazonas","November",682,2012-01-01
"934",2013,"Amazonas","November",220,2013-01-01
"935",2014,"Amazonas","November",676,2014-01-01
"936",2015,"Amazonas","November",1.054,2015-01-01
"937",2016,"Amazonas","November",591,2016-01-01
"938",2017,"Amazonas","November",552,2017-01-01
"939",1998,"Amazonas","December",196,1998-01-01
"940",1999,"Amazonas","December",2,1999-01-01
"941",2000,"Amazonas","December",60,2000-01-01
"942",2001,"Amazonas","December",22,2001-01-01
"943",2002,"Amazonas","December",44,2002-01-01
"944",2003,"Amazonas","December",147,2003-01-01
"945",2004,"Amazonas","December",53,2004-01-01
"946",2005,"Amazonas","December",17,2005-01-01
"947",2006,"Amazonas","December",23,2006-01-01
"948",2007,"Amazonas","December",7,2007-01-01
"949",2008,"Amazonas","December",0,2008-01-01
"950",2009,"Amazonas","December",102,2009-01-01
"951",2010,"Amazonas","December",123,2010-01-01
"952",2011,"Amazonas","December",121,2011-01-01
"953",2012,"Amazonas","December",80,2012-01-01
"954",2013,"Amazonas","December",236,2013-01-01
"955",2014,"Amazonas","December",293,2014-01-01
"956",2015,"Amazonas","December",565,2015-01-01
"957",2016,"Amazonas","December",133,2016-01-01
"958",1998,"Bahia","January",0,1998-01-01
"959",1999,"Bahia","January",114,1999-01-01
"960",2000,"Bahia","January",31,2000-01-01
"961",2001,"Bahia","January",24,2001-01-01
"962",2002,"Bahia","January",125,2002-01-01
"963",2003,"Bahia","January",439,2003-01-01
"964",2004,"Bahia","January",158,2004-01-01
"965",2005,"Bahia","January",303,2005-01-01
"966",2006,"Bahia","January",225,2006-01-01
"967",2007,"Bahia","January",373,2007-01-01
"968",2008,"Bahia","January",314,2008-01-01
"969",2009,"Bahia","January",177,2009-01-01
"970",2010,"Bahia","January",297,2010-01-01
"971",2011,"Bahia","January",101,2011-01-01
"972",2012,"Bahia","January",179,2012-01-01
"973",2013,"Bahia","January",125,2013-01-01
"974",2014,"Bahia","January",132,2014-01-01
"975",2015,"Bahia","January",256,2015-01-01
"976",2016,"Bahia","January",285,2016-01-01
"977",2017,"Bahia","January",154,2017-01-01
"978",1998,"Bahia","February",0,1998-01-01
"979",1999,"Bahia","February",157,1999-01-01
"980",2000,"Bahia","February",32,2000-01-01
"981",2001,"Bahia","February",101,2001-01-01
"982",2002,"Bahia","February",204,2002-01-01
"983",2003,"Bahia","February",223,2003-01-01
"984",2004,"Bahia","February",122,2004-01-01
"985",2005,"Bahia","February",143,2005-01-01
"986",2006,"Bahia","February",277,2006-01-01
"987",2007,"Bahia","February",113,2007-01-01
"988",2008,"Bahia","February",235,2008-01-01
"989",2009,"Bahia","February",117,2009-01-01
"990",2010,"Bahia","February",206,2010-01-01
"991",2011,"Bahia","February",156,2011-01-01
"992",2012,"Bahia","February",200,2012-01-01
"993",2013,"Bahia","February",231,2013-01-01
"994",2014,"Bahia","February",107,2014-01-01
"995",2015,"Bahia","February",143,2015-01-01
"996",2016,"Bahia","February",418,2016-01-01
"997",2017,"Bahia","February",100,2017-01-01
"998",1998,"Bahia","March",0,1998-01-01
"999",1999,"Bahia","March",83,1999-01-01
"1000",2000,"Bahia","March",65,2000-01-01
"1001",2001,"Bahia","March",4,2001-01-01
"1002",2002,"Bahia","March",146,2002-01-01
"1003",2003,"Bahia","March",274,2003-01-01
"1004",2004,"Bahia","March",115,2004-01-01
"1005",2005,"Bahia","March",158,2005-01-01
"1006",2006,"Bahia","March",199,2006-01-01
"1007",2007,"Bahia","March",141,2007-01-01
"1008",2008,"Bahia","March",135,2008-01-01
"1009",2009,"Bahia","March",249,2009-01-01
"1010",2010,"Bahia","March",156,2010-01-01
"1011",2011,"Bahia","March",90,2011-01-01
"1012",2012,"Bahia","March",404,2012-01-01
"1013",2013,"Bahia","March",363,2013-01-01
"1014",2014,"Bahia","March",148,2014-01-01
"1015",2015,"Bahia","March",229,2015-01-01
"1016",2016,"Bahia","March",281,2016-01-01
"1017",2017,"Bahia","March",163,2017-01-01
"1018",1998,"Bahia","April",0,1998-01-01
"1019",1999,"Bahia","April",55,1999-01-01
"1020",2000,"Bahia","April",23,2000-01-01
"1021",2001,"Bahia","April",26,2001-01-01
"1022",2002,"Bahia","April",110,2002-01-01
"1023",2003,"Bahia","April",376,2003-01-01
"1024",2004,"Bahia","April",89,2004-01-01
"1025",2005,"Bahia","April",76,2005-01-01
"1026",2006,"Bahia","April",60,2006-01-01
"1027",2007,"Bahia","April",64,2007-01-01
"1028",2008,"Bahia","April",151,2008-01-01
"1029",2009,"Bahia","April",40,2009-01-01
"1030",2010,"Bahia","April",103,2010-01-01
"1031",2011,"Bahia","April",149,2011-01-01
"1032",2012,"Bahia","April",396,2012-01-01
"1033",2013,"Bahia","April",108,2013-01-01
"1034",2014,"Bahia","April",183,2014-01-01
"1035",2015,"Bahia","April",190,2015-01-01
"1036",2016,"Bahia","April",217,2016-01-01
"1037",2017,"Bahia","April",94,2017-01-01
"1038",1998,"Bahia","May",0,1998-01-01
"1039",1999,"Bahia","May",76,1999-01-01
"1040",2000,"Bahia","May",71,2000-01-01
"1041",2001,"Bahia","May",85,2001-01-01
"1042",2002,"Bahia","May",166,2002-01-01
"1043",2003,"Bahia","May",106,2003-01-01
"1044",2004,"Bahia","May",124,2004-01-01
"1045",2005,"Bahia","May",120,2005-01-01
"1046",2006,"Bahia","May",43,2006-01-01
"1047",2007,"Bahia","May",161,2007-01-01
