"","year","state","month","number","date"
"427",2004,"Alagoas","October",12,2004-01-01
"428",2005,"Alagoas","October",17,2005-01-01
"429",2006,"Alagoas","October",32,2006-01-01
"430",2007,"Alagoas","October",6,2007-01-01
"431",2008,"Alagoas","October",18,2008-01-01
"432",2009,"Alagoas","October",30,2009-01-01
"433",2010,"Alagoas","October",16,2010-01-01
"434",2011,"Alagoas","October",23,2011-01-01
"435",2012,"Alagoas","October",28,2012-01-01
"436",2013,"Alagoas","October",25,2013-01-01
"437",2014,"Alagoas","October",7,2014-01-01
"438",2015,"Alagoas","October",40,2015-01-01
"439",2016,"Alagoas","October",74,2016-01-01
"440",2017,"Alagoas","October",14,2017-01-01
"441",1998,"Alagoas","November",19,1998-01-01
"442",1999,"Alagoas","November",15,1999-01-01
"443",2000,"Alagoas","November",2,2000-01-01
"444",2001,"Alagoas","November",22,2001-01-01
"445",2002,"Alagoas","November",50,2002-01-01
"446",2003,"Alagoas","November",17,2003-01-01
"447",2004,"Alagoas","November",28,2004-01-01
"448",2005,"Alagoas","November",25,2005-01-01
"449",2006,"Alagoas","November",12,2006-01-01
"450",2007,"Alagoas","November",15,2007-01-01
"451",2008,"Alagoas","November",37,2008-01-01
"452",2009,"Alagoas","November",55,2009-01-01
"453",2010,"Alagoas","November",31,2010-01-01
"454",2011,"Alagoas","November",23,2011-01-01
"455",2012,"Alagoas","November",95,2012-01-01
"456",2013,"Alagoas","November",10,2013-01-01
"457",2014,"Alagoas","November",14,2014-01-01
"458",2015,"Alagoas","November",162,2015-01-01
"459",2016,"Alagoas","November",76,2016-01-01
"460",2017,"Alagoas","November",10,2017-01-01
"461",1998,"Alagoas","December",32,1998-01-01
"462",1999,"Alagoas","December",12,1999-01-01
"463",2000,"Alagoas","December",2,2000-01-01
"464",2001,"Alagoas","December",30,2001-01-01
"465",2002,"Alagoas","December",95,2002-01-01
"466",2003,"Alagoas","December",43,2003-01-01
"467",2004,"Alagoas","December",71,2004-01-01
"468",2005,"Alagoas","December",16,2005-01-01
"469",2006,"Alagoas","December",30,2006-01-01
"470",2007,"Alagoas","December",33,2007-01-01
"471",2008,"Alagoas","December",34,2008-01-01
"472",2009,"Alagoas","December",55,2009-01-01
"473",2010,"Alagoas","December",45,2010-01-01
"474",2011,"Alagoas","December",50,2011-01-01
"475",2012,"Alagoas","December",59,2012-01-01
"476",2013,"Alagoas","December",42,2013-01-01
"477",2014,"Alagoas","December",24,2014-01-01
"478",2015,"Alagoas","December",136,2015-01-01
"479",2016,"Alagoas","December",155,2016-01-01
"480",1998,"Amapa","January",0,1998-01-01
"481",1999,"Amapa","January",0,1999-01-01
"482",2000,"Amapa","January",2,2000-01-01
"483",2001,"Amapa","January",0,2001-01-01
"484",2002,"Amapa","January",7,2002-01-01
"485",2003,"Amapa","January",31,2003-01-01
"486",2004,"Amapa","January",38,2004-01-01
"487",2005,"Amapa","January",109,2005-01-01
"488",2006,"Amapa","January",6,2006-01-01
"489",2007,"Amapa","January",0,2007-01-01
"490",2008,"Amapa","January",2,2008-01-01
"491",2009,"Amapa","January",4,2009-01-01
"492",2010,"Amapa","January",2,2010-01-01
"493",2011,"Amapa","January",0,2011-01-01
"494",2012,"Amapa","January",30,2012-01-01
"495",2013,"Amapa","January",3,2013-01-01
"496",2014,"Amapa","January",10,2014-01-01
"497",2015,"Amapa","January",14,2015-01-01
"498",2016,"Amapa","January",19,2016-01-01
"499",2017,"Amapa","January",2,2017-01-01
"500",1998,"Amapa","February",0,1998-01-01
"501",1999,"Amapa","February",1,1999-01-01
"502",2000,"Amapa","February",0,2000-01-01
"503",2001,"Amapa","February",0,2001-01-01
"504",2002,"Amapa","February",2,2002-01-01
"505",2003,"Amapa","February",0,2003-01-01
"506",2004,"Amapa","February",2,2004-01-01
"507",2005,"Amapa","February",1,2005-01-01
"508",2006,"Amapa","February",2,2006-01-01
"509",2007,"Amapa","February",0,2007-01-01
"510",2008,"Amapa","February",0,2008-01-01
"511",2009,"Amapa","February",0,2009-01-01
"512",2010,"Amapa","February",0,2010-01-01
"513",2011,"Amapa","February",3,2011-01-01
"514",2012,"Amapa","February",5,2012-01-01
"515",2013,"Amapa","February",0,2013-01-01
"516",2014,"Amapa","February",2,2014-01-01
"517",2015,"Amapa","February",1,2015-01-01
